name,latitude,longitude
Steirisch-Tauchen,47.49,16.06
Tanzegg,47.45,16.10
Wiesenhöf,47.46,16.06
Pöllau,47.30,15.83
Oberneuberg,47.32,15.88
Unterneuberg,47.30,15.86
Zeil-Pöllau,47.33,15.84
Puchegg,47.39,15.89
Rabenwald,47.30,15.80
Reinberg,47.41,15.96
Riegersbach,47.42,15.88
Oberrohr,47.26,16.04
Unterrohr,47.25,16.05
Rohrbach,47.39,16.00
Obersaifen,47.32,15.80
Winkl-Boden,47.33,15.75
Filzmoos,47.48,15.72
Kaltenegg,47.48,15.79
Kirchenviertel,47.47,15.79
Steinhöf,47.47,15.73
Sankt Johann,47.21,15.82
Sankt Johann,47.28,16.02
Schölbing,47.26,16.01
Unterlungitz,47.30,16.03
Auerbach,47.45,15.96
Festenburg,47.47,15.92
Köppel,47.45,15.93
Kronegg,47.45,15.95
Riegl,47.41,15.97
Sankt Lorenzen,47.44,15.95
Hopfau,47.25,16.00
Lemberg,47.22,16.03
Längenbach,47.20,16.05
Mitterndorf,47.22,16.04
Weinberg,47.23,16.03
Schachen,47.38,15.86
Anger,47.47,16.09
Elsenau,47.45,16.12
Elsenau Sparberegg,47.44,16.12
Götzendorf,47.44,16.14
Guggendorf,47.52,16.10
Haberl,47.49,16.09
Knolln,47.51,16.11
Schäffern,47.48,16.11
Spital,47.48,16.07
Limbach,47.40,16.00
Rohrbachschlag,47.39,16.00
Schlag,47.42,15.99
Hinteregg,47.26,15.84
Schönau,47.25,15.87
Winzendorf,47.27,15.88
Geier,47.21,16.01
Neustift,47.19,15.98
Rohrbach,47.20,16.02
Sebersdorf,47.19,15.99
Siegersdorf,47.21,15.79
Köppelreith,47.34,15.80
Prätis,47.35,15.81
Stambach,47.33,15.96
Zeilerviertel,47.36,15.92
Buchberg,47.23,15.81
Freienberg,47.23,15.79
Stubenberg,47.24,15.80
Vockenberg,47.24,15.84
Zeil,47.26,15.81
Obertiefenbach,47.22,15.85
Untertiefenbach,47.22,15.87
Vorau,47.41,15.89
Vornholz,47.40,15.83
Arzberg,47.46,15.83
Breitenbrunn,47.48,15.84
Rieglerviertel,47.48,15.81
Schrimpf,47.49,15.85
Hohenbrugg,47.15,15.98
Leitersdorf,47.15,16.02
Lichtenwald,47.14,15.96
Wagerberg,47.17,16.04
Bad Waltersdorf,47.16,16.01
Kandlbauer,47.44,15.77
Pittermann,47.41,15.78
Sichart,47.40,15.80
Sommersgut,47.44,15.80
Wörth,47.21,16.08
Amering,47.07,14.70
Großprethal,47.04,14.75
Kathal,47.10,14.69
Kleinprethal,47.05,14.75
Obdachegg,47.06,14.74
Sankt Georgen,47.08,14.74
Bretstein,47.33,14.42
Baumkirchen,47.15,14.75
Eppenstein,47.13,14.74
Größenberg,47.10,14.76
Kathal,47.12,14.71
Mühldorf,47.15,14.74
Schoberegg,47.13,14.75
Schwarzenbach,47.09,14.73
Aichdorf,47.19,14.71
Dietersdorf,47.21,14.66
Fohnsdorf,47.21,14.68
Hetzendorf,47.19,14.68
Kumpitz,47.21,14.65
Rattenberg,47.21,14.72
Sillweg,47.22,14.70
Wasendorf,47.19,14.67
Hohentauern,47.43,14.48
Triebental,47.43,14.54
Gasselsdorf,47.20,14.63
Judenburg,47.17,14.66
Ritzersdorf,47.20,14.64
Strettweg,47.18,14.66
Waltersdorf,47.19,14.65
Katschwald,47.11,14.63
Kienberg,47.11,14.67
Mönchegg,47.09,14.63
Bärnthal,47.03,14.63
Lavantegg,47.04,14.67
Sankt Anna,47.04,14.67
Winterleiten,47.04,14.71
Zanitzen,47.03,14.67
Allersdorf,47.16,14.76
Baierdorf,47.15,14.72
Baumkirchen,47.15,14.75
Fisching,47.16,14.74
Großfeistritz,47.16,14.77
Möbersdorf,47.17,14.76
Möbersdorfsiedlung,47.18,14.77
Maria Buch,47.16,14.70
Murdorf,47.17,14.69
Pichling,47.17,14.77
Thann,47.17,14.78
Wöllmerdorf,47.16,14.70
Granitzen,47.08,14.65
Obdach,47.07,14.69
Rötsch,47.07,14.68
Warbach,47.07,14.67
Götzendorf,47.24,14.55
Katzling,47.24,14.53
Mauterndorf,47.23,14.55
Mosing,47.23,14.57
Oberkurzheim,47.23,14.58
Thaling,47.23,14.56
Unterzeiring,47.26,14.51
Winden,47.25,14.52
Oberweg,47.16,14.65
Ossach,47.11,14.60
Gföllgraben,47.23,14.44
Oberzeiring,47.25,14.49
Zeiringgraben,47.25,14.42
Zugtal,47.25,14.47
Allerheiligen,47.21,14.62
Allerheiligengraben,47.22,14.63
Enzersdorf,47.22,14.57
Greith,47.22,14.56
